type,date
HOLIDAY,2024-01-01
HOLIDAY,2024-01-02
WORKDAY,2024-01-03
WORKDAY,2024-01-04
WORKDAY,2024-01-05
WORKDAY,2024-01-06
HOLIDAY,2024-01-07
WORKDAY,2024-01-08
WORKDAY,2024-01-09
WORKDAY,2024-01-10
WORKDAY,2024-01-11
WORKDAY,2024-01-12
WEEKEND,2024-01-13
WEEKEND,2024-01-14
WORKDAY,2024-01-15
WORKDAY,2024-01-16
WORKDAY,2024-01-17
WORKDAY,2024-01-18
WORKDAY,2024-01-19
WEEKEND,2024-01-20
WEEKEND,2024-01-21
WORKDAY,2024-01-22
WORKDAY,2024-01-23
WORKDAY,2024-01-24
WORKDAY,2024-01-25
WORKDAY,2024-01-26
WEEKEND,2024-01-27
WEEKEND,2024-01-28
WORKDAY,2024-01-29
WORKDAY,2024-01-30
WORKDAY,2024-01-31
WORKDAY,2024-02-01
WORKDAY,2024-02-02
WEEKEND,2024-02-03
WEEKEND,2024-02-04
WORKDAY,2024-02-05
WORKDAY,2024-02-06
WORKDAY,2024-02-07
WORKDAY,2024-02-08
WORKDAY,2024-02-09
WEEKEND,2024-02-10
WEEKEND,2024-02-11
WORKDAY,2024-02-12
WORKDAY,2024-02-13
WORKDAY,2024-02-14
WORKDAY,2024-02-15
WORKDAY,2024-02-16
WEEKEND,2024-02-17
WEEKEND,2024-02-18
WORKDAY,2024-02-19
WORKDAY,2024-02-20
WORKDAY,2024-02-21
WORKDAY,2024-02-22
WEEKEND,2024-02-23
WEEKEND,2024-02-24
WEEKEND,2024-02-25
WORKDAY,2024-02-26
WORKDAY,2024-02-27
WORKDAY,2024-02-28
WORKDAY,2024-02-29
WORKDAY,2024-03-01
WEEKEND,2024-03-02
WEEKEND,2024-03-03
WORKDAY,2024-03-04
WORKDAY,2024-03-05
WORKDAY,2024-03-06
WORKDAY,2024-03-07
HOLIDAY,2024-03-08
WEEKEND,2024-03-09
WEEKEND,2024-03-10
WORKDAY,2024-03-11
WORKDAY,2024-03-12
WORKDAY,2024-03-13
WORKDAY,2024-03-14
WORKDAY,2024-03-15
WEEKEND,2024-03-16
WEEKEND,2024-03-17
WORKDAY,2024-03-18
WORKDAY,2024-03-19
WORKDAY,2024-03-20
WORKDAY,2024-03-21
WORKDAY,2024-03-22
WEEKEND,2024-03-23
WEEKEND,2024-03-24
WORKDAY,2024-03-25
WORKDAY,2024-03-26
WORKDAY,2024-03-27
WORKDAY,2024-03-28
WORKDAY,2024-03-29
WEEKEND,2024-03-30
WEEKEND,2024-03-31
WORKDAY,2024-04-01
WORKDAY,2024-04-02
WORKDAY,2024-04-03
WORKDAY,2024-04-04
WORKDAY,2024-04-05
WEEKEND,2024-04-06
WEEKEND,2024-04-07
WORKDAY,2024-04-08
WORKDAY,2024-04-09
WORKDAY,2024-04-10
WORKDAY,2024-04-11
WORKDAY,2024-04-12
WEEKEND,2024-04-13
WEEKEND,2024-04-14
WORKDAY,2024-04-15
WORKDAY,2024-04-16
WORKDAY,2024-04-17
WORKDAY,2024-04-18
WORKDAY,2024-04-19
WEEKEND,2024-04-20
WEEKEND,2024-04-21
WORKDAY,2024-04-22
WORKDAY,2024-04-23
WORKDAY,2024-04-24
WORKDAY,2024-04-25
WORKDAY,2024-04-26
WORKDAY,2024-04-27
WEEKEND,2024-04-28
WORKDAY,2024-04-29
WORKDAY,2024-04-30
HOLIDAY,2024-05-01
WORKDAY,2024-05-02
WORKDAY,2024-05-03
WEEKEND,2024-05-04
WEEKEND,2024-05-05
WORKDAY,2024-05-06
WORKDAY,2024-05-07
WORKDAY,2024-05-08
HOLIDAY,2024-05-09
WORKDAY,2024-05-10
WEEKEND,2024-05-11
WEEKEND,2024-05-12
WORKDAY,2024-05-13
WORKDAY,2024-05-14
WORKDAY,2024-05-15
WORKDAY,2024-05-16
WORKDAY,2024-05-17
WEEKEND,2024-05-18
WEEKEND,2024-05-19
WORKDAY,2024-05-20
WORKDAY,2024-05-21
WORKDAY,2024-05-22
WORKDAY,2024-05-23
WORKDAY,2024-05-24
WEEKEND,2024-05-25
WEEKEND,2024-05-26
WORKDAY,2024-05-27
WORKDAY,2024-05-28
WORKDAY,2024-05-29
WORKDAY,2024-05-30
WORKDAY,2024-05-31
WEEKEND,2024-06-01
WEEKEND,2024-06-02
WORKDAY,2024-06-03
WORKDAY,2024-06-04
WORKDAY,2024-06-05
WORKDAY,2024-06-06
WORKDAY,2024-06-07
WEEKEND,2024-06-08
WEEKEND,2024-06-09
WORKDAY,2024-06-10
WORKDAY,2024-06-11
WORKDAY,2024-06-12
WORKDAY,2024-06-13
WORKDAY,2024-06-14
WEEKEND,2024-06-15
WEEKEND,2024-06-16
WORKDAY,2024-06-17
WORKDAY,2024-06-18
WORKDAY,2024-06-19
WORKDAY,2024-06-20
WORKDAY,2024-06-21
WEEKEND,2024-06-22
WEEKEND,2024-06-23
WORKDAY,2024-06-24
WORKDAY,2024-06-25
WORKDAY,2024-06-26
WORKDAY,2024-06-27
WORKDAY,2024-06-28
WEEKEND,2024-06-29
WEEKEND,2024-06-30
WORKDAY,2024-07-01
WORKDAY,2024-07-02
HOLIDAY,2024-07-03
WORKDAY,2024-07-04
WORKDAY,2024-07-05
WEEKEND,2024-07-06
WEEKEND,2024-07-07
WORKDAY,2024-07-08
WORKDAY,2024-07-09
WORKDAY,2024-07-10
WORKDAY,2024-07-11
WORKDAY,2024-07-12
WEEKEND,2024-07-13
WEEKEND,2024-07-14
WORKDAY,2024-07-15
WORKDAY,2024-07-16
WORKDAY,2024-07-17
WORKDAY,2024-07-18
WORKDAY,2024-07-19
WEEKEND,2024-07-20
WEEKEND,2024-07-21
WORKDAY,2024-07-22
WORKDAY,2024-07-23
WORKDAY,2024-07-24
WORKDAY,2024-07-25
WORKDAY,2024-07-26
WEEKEND,2024-07-27
WEEKEND,2024-07-28
WORKDAY,2024-07-29
WORKDAY,2024-07-30
WORKDAY,2024-07-31
WORKDAY,2024-08-01
WORKDAY,2024-08-02
