days/type,days/date
HOLIDAY,2025-01-01
HOLIDAY,2025-01-02
HOLIDAY,2025-01-03
HOLIDAY,2025-01-04
HOLIDAY,2025-01-05
HOLIDAY,2025-01-06
HOLIDAY,2025-01-07
HOLIDAY,2025-01-08
WORKDAY,2025-01-09
WORKDAY,2025-01-10
WEEKEND,2025-01-11
WEEKEND,2025-01-12
WORKDAY,2025-01-13
WORKDAY,2025-01-14
WORKDAY,2025-01-15
WORKDAY,2025-01-16
WORKDAY,2025-01-17
WEEKEND,2025-01-18
WEEKEND,2025-01-19
WORKDAY,2025-01-20
WORKDAY,2025-01-21
WORKDAY,2025-01-22
WORKDAY,2025-01-23
WORKDAY,2025-01-24
WEEKEND,2025-01-25
WEEKEND,2025-01-26
WORKDAY,2025-01-27
WORKDAY,2025-01-28
WORKDAY,2025-01-29
WORKDAY,2025-01-30
WORKDAY,2025-01-31
WEEKEND,2025-02-01
WEEKEND,2025-02-02
WORKDAY,2025-02-03
WORKDAY,2025-02-04
WORKDAY,2025-02-05
WORKDAY,2025-02-06
WORKDAY,2025-02-07
WEEKEND,2025-02-08
WEEKEND,2025-02-09
WORKDAY,2025-02-10
WORKDAY,2025-02-11
WORKDAY,2025-02-12
WORKDAY,2025-02-13
WORKDAY,2025-02-14
WEEKEND,2025-02-15
WEEKEND,2025-02-16
WORKDAY,2025-02-17
WORKDAY,2025-02-18
WORKDAY,2025-02-19
WORKDAY,2025-02-20
WORKDAY,2025-02-21
WEEKEND,2025-02-22
HOLIDAY,2025-02-23
WORKDAY,2025-02-24
WORKDAY,2025-02-25
WORKDAY,2025-02-26
WORKDAY,2025-02-27
WORKDAY,2025-02-28
WEEKEND,2025-03-01
WEEKEND,2025-03-02
WORKDAY,2025-03-03
WORKDAY,2025-03-04
WORKDAY,2025-03-05
WORKDAY,2025-03-06
WORKDAY,2025-03-07
HOLIDAY,2025-03-08
WEEKEND,2025-03-09
WORKDAY,2025-03-10
WORKDAY,2025-03-11
WORKDAY,2025-03-12
WORKDAY,2025-03-13
WORKDAY,2025-03-14
WEEKEND,2025-03-15
WEEKEND,2025-03-16
WORKDAY,2025-03-17
WORKDAY,2025-03-18
WORKDAY,2025-03-19
WORKDAY,2025-03-20
WORKDAY,2025-03-21
WEEKEND,2025-03-22
WEEKEND,2025-03-23
WORKDAY,2025-03-24
WORKDAY,2025-03-25
WORKDAY,2025-03-26
WORKDAY,2025-03-27
WORKDAY,2025-03-28
WEEKEND,2025-03-29
WEEKEND,2025-03-30
WORKDAY,2025-03-31
WORKDAY,2025-04-01
WORKDAY,2025-04-02
WORKDAY,2025-04-03
WORKDAY,2025-04-04
WEEKEND,2025-04-05
WEEKEND,2025-04-06
WORKDAY,2025-04-07
WORKDAY,2025-04-08
WORKDAY,2025-04-09
WORKDAY,2025-04-10
WORKDAY,2025-04-11
WEEKEND,2025-04-12
WEEKEND,2025-04-13
WORKDAY,2025-04-14
WORKDAY,2025-04-15
WORKDAY,2025-04-16
WORKDAY,2025-04-17
WORKDAY,2025-04-18
WEEKEND,2025-04-19
WEEKEND,2025-04-20
WORKDAY,2025-04-21
WORKDAY,2025-04-22
WORKDAY,2025-04-23
WORKDAY,2025-04-24
WORKDAY,2025-04-25
WEEKEND,2025-04-26
WEEKEND,2025-04-27
WORKDAY,2025-04-28
WORKDAY,2025-04-29
WORKDAY,2025-04-30
HOLIDAY,2025-05-01
HOLIDAY,2025-05-02
WEEKEND,2025-05-03
WEEKEND,2025-05-04
WORKDAY,2025-05-05
WORKDAY,2025-05-06
WORKDAY,2025-05-07
HOLIDAY,2025-05-08
HOLIDAY,2025-05-09
WEEKEND,2025-05-10
WEEKEND,2025-05-11
WORKDAY,2025-05-12
WORKDAY,2025-05-13
WORKDAY,2025-05-14
WORKDAY,2025-05-15
WORKDAY,2025-05-16
WEEKEND,2025-05-17
WEEKEND,2025-05-18
WORKDAY,2025-05-19
WORKDAY,2025-05-20
WORKDAY,2025-05-21
WORKDAY,2025-05-22
WORKDAY,2025-05-23
WEEKEND,2025-05-24
WEEKEND,2025-05-25
WORKDAY,2025-05-26
WORKDAY,2025-05-27
WORKDAY,2025-05-28
WORKDAY,2025-05-29
WORKDAY,2025-05-30
WEEKEND,2025-05-31
WEEKEND,2025-06-01
WORKDAY,2025-06-02
WORKDAY,2025-06-03
WORKDAY,2025-06-04
WORKDAY,2025-06-05
WORKDAY,2025-06-06
WEEKEND,2025-06-07
WEEKEND,2025-06-08
WORKDAY,2025-06-09
WORKDAY,2025-06-10
WORKDAY,2025-06-11
HOLIDAY,2025-06-12
HOLIDAY,2025-06-13
WEEKEND,2025-06-14
WEEKEND,2025-06-15
WORKDAY,2025-06-16
WORKDAY,2025-06-17
WORKDAY,2025-06-18
WORKDAY,2025-06-19
WORKDAY,2025-06-20
WEEKEND,2025-06-21
WEEKEND,2025-06-22
WORKDAY,2025-06-23
WORKDAY,2025-06-24
WORKDAY,2025-06-25
WORKDAY,2025-06-26
WORKDAY,2025-06-27
WEEKEND,2025-06-28
WEEKEND,2025-06-29
WORKDAY,2025-06-30
WORKDAY,2025-07-01
WORKDAY,2025-07-02
WORKDAY,2025-07-03
WORKDAY,2025-07-04
WEEKEND,2025-07-05
WEEKEND,2025-07-06
WORKDAY,2025-07-07
WORKDAY,2025-07-08
WORKDAY,2025-07-09
WORKDAY,2025-07-10
WORKDAY,2025-07-11
WEEKEND,2025-07-12
WEEKEND,2025-07-13
WORKDAY,2025-07-14
WORKDAY,2025-07-15
WORKDAY,2025-07-16
WORKDAY,2025-07-17
WORKDAY,2025-07-18
WEEKEND,2025-07-19
WEEKEND,2025-07-20
WORKDAY,2025-07-21
WORKDAY,2025-07-22
WORKDAY,2025-07-23
WORKDAY,2025-07-24
WORKDAY,2025-07-25
WEEKEND,2025-07-26
WEEKEND,2025-07-27
WORKDAY,2025-07-28
WORKDAY,2025-07-29
WORKDAY,2025-07-30
WORKDAY,2025-07-31
WORKDAY,2025-08-01
WEEKEND,2025-08-02
WEEKEND,2025-08-03
WORKDAY,2025-08-04
WORKDAY,2025-08-05
WORKDAY,2025-08-06
WORKDAY,2025-08-07
WORKDAY,2025-08-08
WEEKEND,2025-08-09
WEEKEND,2025-08-10
WORKDAY,2025-08-11
WORKDAY,2025-08-12
WORKDAY,2025-08-13
WORKDAY,2025-08-14
WORKDAY,2025-08-15
WEEKEND,2025-08-16
WEEKEND,2025-08-17
WORKDAY,2025-08-18
WORKDAY,2025-08-19
WORKDAY,2025-08-20
WORKDAY,2025-08-21
WORKDAY,2025-08-22
WEEKEND,2025-08-23
WEEKEND,2025-08-24
WORKDAY,2025-08-25
WORKDAY,2025-08-26
WORKDAY,2025-08-27
WORKDAY,2025-08-28
WORKDAY,2025-08-29
WEEKEND,2025-08-30
WEEKEND,2025-08-31
WORKDAY,2025-09-01
WORKDAY,2025-09-02
WORKDAY,2025-09-03
WORKDAY,2025-09-04
WORKDAY,2025-09-05
WEEKEND,2025-09-06
WEEKEND,2025-09-07
WORKDAY,2025-09-08
WORKDAY,2025-09-09
WORKDAY,2025-09-10
WORKDAY,2025-09-11
WORKDAY,2025-09-12
WEEKEND,2025-09-13
WEEKEND,2025-09-14
WORKDAY,2025-09-15
WORKDAY,2025-09-16
WORKDAY,2025-09-17
WORKDAY,2025-09-18
WORKDAY,2025-09-19
WEEKEND,2025-09-20
WEEKEND,2025-09-21
WORKDAY,2025-09-22
WORKDAY,2025-09-23
WORKDAY,2025-09-24
WORKDAY,2025-09-25
WORKDAY,2025-09-26
WEEKEND,2025-09-27
WEEKEND,2025-09-28
WORKDAY,2025-09-29
WORKDAY,2025-09-30
WORKDAY,2025-10-01
WORKDAY,2025-10-02
WORKDAY,2025-10-03
WEEKEND,2025-10-04
WEEKEND,2025-10-05
WORKDAY,2025-10-06
WORKDAY,2025-10-07
WORKDAY,2025-10-08
WORKDAY,2025-10-09
WORKDAY,2025-10-10
WEEKEND,2025-10-11
WEEKEND,2025-10-12
WORKDAY,2025-10-13
WORKDAY,2025-10-14
WORKDAY,2025-10-15
WORKDAY,2025-10-16
WORKDAY,2025-10-17
WEEKEND,2025-10-18
WEEKEND,2025-10-19
WORKDAY,2025-10-20
WORKDAY,2025-10-21
WORKDAY,2025-10-22
WORKDAY,2025-10-23
WORKDAY,2025-10-24
WEEKEND,2025-10-25
WEEKEND,2025-10-26
WORKDAY,2025-10-27
WORKDAY,2025-10-28
WORKDAY,2025-10-29
WORKDAY,2025-10-30
WORKDAY,2025-10-31
WORKDAY,2025-11-01
WEEKEND,2025-11-02
HOLIDAY,2025-11-03
HOLIDAY,2025-11-04
WORKDAY,2025-11-05
WORKDAY,2025-11-06
WORKDAY,2025-11-07
WEEKEND,2025-11-08
WEEKEND,2025-11-09
WORKDAY,2025-11-10
WORKDAY,2025-11-11
WORKDAY,2025-11-12
WORKDAY,2025-11-13
WORKDAY,2025-11-14
WEEKEND,2025-11-15
WEEKEND,2025-11-16
WORKDAY,2025-11-17
WORKDAY,2025-11-18
WORKDAY,2025-11-19
WORKDAY,2025-11-20
WORKDAY,2025-11-21
WEEKEND,2025-11-22
WEEKEND,2025-11-23
WORKDAY,2025-11-24
WORKDAY,2025-11-25
WORKDAY,2025-11-26
WORKDAY,2025-11-27
WORKDAY,2025-11-28
WEEKEND,2025-11-29
WEEKEND,2025-11-30
WORKDAY,2025-12-01
WORKDAY,2025-12-02
WORKDAY,2025-12-03
WORKDAY,2025-12-04
WORKDAY,2025-12-05
WEEKEND,2025-12-06
WEEKEND,2025-12-07
WORKDAY,2025-12-08
WORKDAY,2025-12-09
WORKDAY,2025-12-10
WORKDAY,2025-12-11
WORKDAY,2025-12-12
WEEKEND,2025-12-13
WEEKEND,2025-12-14
WORKDAY,2025-12-15
WORKDAY,2025-12-16
WORKDAY,2025-12-17
WORKDAY,2025-12-18
WORKDAY,2025-12-19
WEEKEND,2025-12-20
WEEKEND,2025-12-21
WORKDAY,2025-12-22
WORKDAY,2025-12-23
WORKDAY,2025-12-24
WORKDAY,2025-12-25
WORKDAY,2025-12-26
WEEKEND,2025-12-27
WEEKEND,2025-12-28
WORKDAY,2025-12-29
WORKDAY,2025-12-30
HOLIDAY,2025-12-31
